song_name,artist,album,genre
Ultralife,Oh Wonder,Ultralife,Pop
Lo-Fi Children,Wild Party,Phantom Pop,Pop
Shot At The Night,The Killers,Direct Hits,Pop
12:51,The Strokes,Room On Fire,Pop
When I Get Older,Wild Party,Phantom Pop,Pop
Carry Your Throne,Jon Bellion,The Definition,Pop
In Your Arms,Kina Grannis,Stairwells,Pop
Violence,TENDER,Violence,Pop
Outside,TENDER,Outside,Pop
Nadir,TENDER,Modern Addiction,Pop
Afternoon,TENDER,Afternoon,Pop
Vow,TENDER,Modern Addiction,Pop
Crawl,TENDER,Modern Addiction,Pop
Stay The Night,Claptone,Fantast,Pop
Know You Better,LEISURE,Leisure,Pop
All over You,LEISURE,Leisure,Pop
Money,LEISURE,Money,Pop
Her,Her,Her Tape #1,Pop
Last Dance,Rhye,Woman,Pop
Open,Rhye,Woman,Pop
Song For You,Rhye,Blood,Pop
Blood Knows,Rhye,Blood,Pop
Taste,Rhye,Blood,Pop
The Fall,Rhye,Woman,Pop
Count To Five,Rhye,Blood,Pop
3 Days,Rhye,Woman,Pop
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Pop
everything i wanted,Billie Eilish,everything i wanted,Pop
bury a friend,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Pop
you should see me in a crown,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Pop
all the good girls go to hell,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Pop
You'd Gotta Be Alive,St Francis Hotel,You'd Gotta Be Alive,Pop
Too Much,Pale,Too Much,Pop
You Are the Right One,Sports,Naked All the Time,Pop
Stones,Emmit Fenn,Prologue,Pop
Easy,Son Lux,Lanterns,Pop
Photomaton,Jabberwocky,Pola,Pop
With You,Beasts With No Name,Sleeptalker,Pop
American Funeral,Alex Da Kid,American Funeral,Pop
Somewhere Tonight,Beach House,Thank Your Lucky Stars,Pop
Chainsmoking,Jacob Banks,The Boy Who Cried Freedom,Pop
Firefight,Tommy,Firefight,Pop
Nightcall,Kavinsky,OutRun,Pop
sickly sweet,iiola,sickly sweet,Pop
You're so Cold,Two Feet,First Steps,Pop
Had Some Drinks,Two Feet,Had Some Drinks,Pop
Love Is a Bitch,Two Feet,Love Is a Bitch,Pop
Her Life,Two Feet,First Steps,Pop
Go Fuck Yourself,Two Feet,First Steps,Pop
Quick Musical Doodles,Two Feet,First Steps,Pop
